"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","650","""https://google.com""","chromium","2026-07-13","passed","2026-07-13","Создать клуб — Невалидный Telegram","clubs-create.spec.ts","",""
"","744","Создать клуб - Пустая форма","chromium","2026-07-13","passed","2026-07-13","","clubs-create.spec.ts","",""
"","629","""t.me/abc""","chromium","2026-07-13","passed","2026-07-13","Создать клуб — Невалидный Telegram","clubs-create.spec.ts","",""
"","630","Авторизация — неверный код","chromium","2026-07-13","passed","2026-07-13","","signin.spec.ts","",""
"","574","Создать клуб — Отмена","chromium","2026-07-13","passed","2026-07-13","","clubs-create.spec.ts","",""
"","499","Авторизация — кнопка «Назад» возвращает к вводу email","chromium","2026-07-13","passed","2026-07-13","","signin.spec.ts","",""
"","2445","Создать клуб","chromium","2026-07-13","passed","2026-07-13","","clubs-create.spec.ts","",""
"","828","Авторизация","chromium","2026-07-13","passed","2026-07-13","","signin.spec.ts","",""
"","700","Регистрация","chromium","2026-07-13","passed","2026-07-13","","signin.spec.ts","",""
"","666","""not-a-valid-url""","chromium","2026-07-13","passed","2026-07-13","Создать клуб — Невалидный Telegram","clubs-create.spec.ts","",""
"","664","Клубы","chromium","2026-07-13","passed","2026-07-13","","clubs-mock.spec.ts","",""
"","615","""@something""","chromium","2026-07-13","passed","2026-07-13","Создать клуб — Невалидный Telegram","clubs-create.spec.ts","",""
